source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0019538,protein metabolic process,3.853894130508407e-09,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4467,1217,304,25907,0.24979457682826622,0.06805462278934409,query_1,"['GO:0043170', 'GO:0044238']"
GO:BP,GO:0071840,cellular component organization or biogenesis,4.418412230173219e-09,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]",7867,1217,481,25907,0.3952341824157765,0.06114147705605694,query_1,['GO:0009987']
GO:BP,GO:0019222,regulation of metabolic process,5.639424808458539e-09,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",6679,1217,420,25907,0.3451109285127362,0.06288366521934421,query_1,"['GO:0008152', 'GO:0050794']"
GO:BP,GO:0080090,regulation of primary metabolic process,1.7277637096231295e-08,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5176,1217,339,25907,0.27855382087099423,0.06549459041731066,query_1,"['GO:0019222', 'GO:0044238']"
GO:BP,GO:0007010,cytoskeleton organization,1.8196327216317764e-08,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]",1471,1217,128,25907,0.10517666392769104,0.08701563562202583,query_1,['GO:0006996']
GO:BP,GO:0048523,negative regulation of cellular process,1.9373518683391804e-08,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5540,1217,358,25907,0.2941659819227609,0.06462093862815885,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
GO:BP,GO:0045109,intermediate filament organization,3.4413924270566724e-08,True,"""Control of the spatial distribution of intermediate filaments; includes organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:ai]",67,1217,20,25907,0.016433853738701727,0.29850746268656714,query_1,"['GO:0045104', 'GO:0097435']"
GO:BP,GO:0048519,negative regulation of biological process,3.8035673301567455e-08,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5759,1217,368,25907,0.30238290879211177,0.06389998263587428,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0048731,system development,4.671887874831166e-08,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4155,1217,282,25907,0.23171733771569433,0.06787003610108304,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0016192,vesicle-mediated transport,4.772733459629996e-08,True,"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]",1524,1217,130,25907,0.10682004930156122,0.08530183727034121,query_1,"['GO:0006810', 'GO:0009987']"
GO:BP,GO:0070727,cellular macromolecule localization,7.954324109371141e-08,True,"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]",2603,1217,194,25907,0.15940838126540674,0.07452938916634652,query_1,"['GO:0033036', 'GO:0051641']"
GO:BP,GO:0016043,cellular component organization,8.391711848832631e-08,True,"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]",7668,1217,464,25907,0.38126540673788,0.0605112154407929,query_1,['GO:0071840']
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,8.645795257205089e-08,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2571,1217,192,25907,0.15776499589153656,0.07467911318553092,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']"
GO:BP,GO:0045104,intermediate filament cytoskeleton organization,9.955796316801721e-08,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising intermediate filaments and their associated proteins."" [GOC:ai]",86,1217,22,25907,0.018077239112571898,0.2558139534883721,query_1,"['GO:0007010', 'GO:0045103']"
GO:BP,GO:0006950,response to stress,1.245373226747374e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3917,1217,267,25907,0.21939194741166804,0.06816441153944346,query_1,['GO:0050896']
GO:BP,GO:0045103,intermediate filament-based process,1.2739350186654266e-07,True,"""Any cellular process that depends upon or alters the intermediate filament cytoskeleton, that part of the cytoskeleton comprising intermediate filaments and their associated proteins."" [GOC:ai]",87,1217,22,25907,0.018077239112571898,0.25287356321839083,query_1,['GO:0009987']
GO:BP,GO:0008104,protein localization,1.726143286792467e-07,True,"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]",2592,1217,192,25907,0.15776499589153656,0.07407407407407407,query_1,['GO:0070727']
GO:BP,GO:0009891,positive regulation of biosynthetic process,1.7728863222308133e-07,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2697,1217,198,25907,0.16269515201314708,0.07341490545050056,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009893']"
GO:BP,GO:0030154,cell differentiation,2.424489892121027e-07,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4795,1217,313,25907,0.257189811010682,0.06527632950990615,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,2.483851289297461e-07,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4796,1217,313,25907,0.257189811010682,0.0652627189324437,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,4.7000174207919824e-07,True,"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",2007,1217,156,25907,0.12818405916187345,0.07772795216741404,query_1,"['GO:0006139', 'GO:0009893', 'GO:0019219']"
GO:BP,GO:0006796,phosphate-containing compound metabolic process,5.595809519753464e-07,True,"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]",2232,1217,169,25907,0.1388660640920296,0.07571684587813621,query_1,['GO:0006793']
GO:BP,GO:0006793,phosphorus metabolic process,6.197436262167309e-07,True,"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."" [GOC:ai]",2235,1217,169,25907,0.1388660640920296,0.0756152125279642,query_1,['GO:0008152']
GO:BP,GO:0048583,regulation of response to stimulus,9.37556206799384e-07,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3939,1217,264,25907,0.21692686935086278,0.06702208682406702,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0035556,intracellular signal transduction,1.1440257618886694e-06,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2810,1217,201,25907,0.16516023007395234,0.07153024911032028,query_1,['GO:0007165']
GO:BP,GO:0009790,embryo development,1.2625367124053558e-06,True,"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]",1249,1217,108,25907,0.08874281018898932,0.08646917534027222,query_1,['GO:0007275']
GO:BP,GO:0009792,embryo development ending in birth or egg hatching,1.3730231901043035e-06,True,"""The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]",809,1217,79,25907,0.06491372226787182,0.09765142150803462,query_1,['GO:0009790']
GO:BP,GO:0097435,supramolecular fiber organization,1.7250491619593655e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:pr]",813,1217,79,25907,0.06491372226787182,0.0971709717097171,query_1,['GO:0016043']
GO:BP,GO:0043412,macromolecule modification,2.484170444575711e-06,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",2695,1217,193,25907,0.15858668857847166,0.07161410018552876,query_1,['GO:0043170']
GO:BP,GO:0023051,regulation of signaling,4.231780632625543e-06,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3558,1217,240,25907,0.1972062448644207,0.06745362563237774,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0032879,regulation of localization,4.790375444502103e-06,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",2108,1217,158,25907,0.12982744453574363,0.07495256166982922,query_1,"['GO:0050789', 'GO:0051179']"
GO:BP,GO:0009966,regulation of signal transduction,6.25336951196947e-06,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",2940,1217,205,25907,0.1684470008216927,0.06972789115646258,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0043009,chordate embryonic development,6.700892746798617e-06,True,"""The process whose specific outcome is the progression of the embryo over time, from zygote formation through a stage including a notochord and neural tube until birth or egg hatching."" [GOC:mtg_sensu]",793,1217,76,25907,0.062448644207066556,0.09583858764186633,query_1,['GO:0009792']
GO:BP,GO:0051254,positive regulation of RNA metabolic process,6.810413773425972e-06,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1813,1217,140,25907,0.11503697617091208,0.07722007722007722,query_1,"['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']"
GO:BP,GO:0010646,regulation of cell communication,7.098033535718647e-06,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3560,1217,239,25907,0.19638455217748563,0.06713483146067416,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0051726,regulation of cell cycle,9.199811773078197e-06,True,"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]",1011,1217,90,25907,0.07395234182415776,0.08902077151335312,query_1,"['GO:0007049', 'GO:0050794']"
GO:BP,GO:0036211,protein modification process,1.311535008818004e-05,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2540,1217,181,25907,0.14872637633525063,0.07125984251968503,query_1,"['GO:0019538', 'GO:0043412']"
GO:BP,GO:0010556,regulation of macromolecule biosynthetic process,1.803018724549751e-05,True,"""Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",5426,1217,336,25907,0.27608874281018897,0.061924069295982306,query_1,"['GO:0009059', 'GO:0009889', 'GO:0060255']"
GO:BP,GO:0045893,positive regulation of DNA-templated transcription,2.174011452658107e-05,True,"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1678,1217,130,25907,0.10682004930156122,0.07747318235995232,query_1,"['GO:0006351', 'GO:0006355', 'GO:1902680']"
GO:BP,GO:0051649,establishment of localization in cell,2.293285530219083e-05,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",2036,1217,151,25907,0.12407559572719803,0.07416502946954813,query_1,"['GO:0051234', 'GO:0051641']"
GO:BP,GO:1902680,positive regulation of RNA biosynthetic process,2.333900444907125e-05,True,"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]",1680,1217,130,25907,0.10682004930156122,0.07738095238095238,query_1,"['GO:0010557', 'GO:0032774', 'GO:0051254', 'GO:2001141']"
GO:BP,GO:0070887,cellular response to chemical stimulus,2.4391700053356e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2438,1217,174,25907,0.142974527526705,0.07136997538966366,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0046907,intracellular transport,2.6836008272177636e-05,True,"""The directed movement of substances within a cell."" [GOC:ai]",1337,1217,109,25907,0.0895645028759244,0.08152580403889305,query_1,"['GO:0006810', 'GO:0051641', 'GO:0051649']"
GO:BP,GO:0006886,intracellular protein transport,2.806064098636078e-05,True,"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]",657,1217,65,25907,0.05341002465078061,0.0989345509893455,query_1,"['GO:0008104', 'GO:0015031', 'GO:0046907']"
GO:BP,GO:0010468,regulation of gene expression,3.110467630821354e-05,True,"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",5318,1217,329,25907,0.2703368940016434,0.06186536291839037,query_1,"['GO:0010467', 'GO:0010556']"
GO:BP,GO:0048513,animal organ development,3.1519482369868564e-05,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3272,1217,220,25907,0.18077239112571897,0.06723716381418093,query_1,['GO:0048856']
GO:BP,GO:0071705,nitrogen compound transport,3.8362176297066683e-05,True,"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]",1949,1217,145,25907,0.11914543960558752,0.07439712673165726,query_1,['GO:0006810']
GO:BP,GO:0009653,anatomical structure morphogenesis,4.6922807033450934e-05,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2781,1217,192,25907,0.15776499589153656,0.06903991370010787,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0051640,organelle localization,4.725187098957633e-05,True,"""Any process in which an organelle is transported to, and/or maintained in, a specific location."" [GOC:ai]",608,1217,61,25907,0.05012325390304026,0.10032894736842106,query_1,['GO:0051179']
GO:BP,GO:0009889,regulation of biosynthetic process,6.0418099105606984e-05,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",5622,1217,343,25907,0.2818405916187346,0.061010316613304874,query_1,"['GO:0009058', 'GO:0019222']"
GO:BP,GO:0048568,embryonic organ development,9.779023802664215e-05,True,"""Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:jid]",506,1217,53,25907,0.043549712407559574,0.10474308300395258,query_1,"['GO:0009790', 'GO:0048513']"
GO:BP,GO:0031399,regulation of protein modification process,0.00011151916143126484,True,"""Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]",909,1217,80,25907,0.0657354149548069,0.08800880088008801,query_1,"['GO:0036211', 'GO:0051246']"
GO:BP,GO:0033554,cellular response to stress,0.00012351936842401468,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1814,1217,135,25907,0.11092851273623665,0.07442116868798236,query_1,"['GO:0006950', 'GO:0051716']"
GO:BP,GO:1901700,response to oxygen-containing compound,0.00013217321494164458,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1971,1217,144,25907,0.11832374691865243,0.0730593607305936,query_1,['GO:0042221']
GO:BP,GO:0051656,establishment of organelle localization,0.00018771263445001727,True,"""The directed movement of an organelle to a specific location."" [GOC:ai]",474,1217,50,25907,0.041084634346754315,0.10548523206751055,query_1,"['GO:0051234', 'GO:0051640']"
GO:BP,GO:1901701,cellular response to oxygen-containing compound,0.00020446193449672137,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1407,1217,110,25907,0.09038619556285948,0.07818052594171997,query_1,"['GO:0070887', 'GO:1901700']"
GO:BP,GO:0032501,multicellular organismal process,0.00021432866428249363,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",8499,1217,484,25907,0.3976992604765818,0.05694787622073185,query_1,['GO:0008150']
GO:BP,GO:0009892,negative regulation of metabolic process,0.00021487438957409354,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3204,1217,212,25907,0.1741988496302383,0.066167290886392,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048523']"
GO:BP,GO:0070925,organelle assembly,0.00024546889270155286,True,"""The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",1021,1217,86,25907,0.07066557107641742,0.0842311459353575,query_1,"['GO:0006996', 'GO:0022607']"
GO:BP,GO:0015031,protein transport,0.00026879167439573066,True,"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1448,1217,112,25907,0.09202958093672967,0.07734806629834254,query_1,"['GO:0045184', 'GO:0071705']"
GO:BP,GO:0006468,protein phosphorylation,0.00028919642801525136,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",1105,1217,91,25907,0.07477403451109285,0.08235294117647059,query_1,"['GO:0016310', 'GO:0036211']"
GO:BP,GO:0048584,positive regulation of response to stimulus,0.00033323323420814214,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2336,1217,163,25907,0.13393590797041907,0.06977739726027397,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0009894,regulation of catabolic process,0.00033801650391498625,True,"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]",965,1217,82,25907,0.06737880032867707,0.0849740932642487,query_1,"['GO:0009056', 'GO:0019222']"
GO:BP,GO:0051049,regulation of transport,0.0003434211786314003,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1709,1217,127,25907,0.10435497124075596,0.0743124634289058,query_1,"['GO:0006810', 'GO:0032879']"
